Product name,Quantity,Description,Supplier,Cost (USD),Link
Tact Switch,24,A 6x6x5mm tactile switch. Comes in a pack of 50.,TEMU,2.13,https://www.temu.com/au/50pcs-6-6-5mm-tactile--pin-micro-push-button-g-601099520633185.html?_oak_mp_inf=EOHSm5um1ogBGiBmZTc0NjJlZWFkNDA0OWUxYjk0Yjc4ZWFmYmUwOGVhYiCig%2B2jtTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2FFancyalgo%2FVirtualModelMatting%2F3515468c7d0279b3e57754be255a7032.jpg&spec_gallery_id=2016943824&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MzE4&_oak_gallery_order=467107692%2C1607705884%2C1177025127%2C1152377276%2C701331465&search_key=tactile%20switches&refer_page_el_sn=200049&refer_page_name=search_result&refer_page_id=10009_1766648927674_pv6b8mk0d0&_x_sessn_id=pl1hxsqkxc
LCD,1,"3.5" TFT 480x320 LCD screen" - Amazon was the cheapest place to buy this product from,Amazon AU,16.86,https://www.amazon.com.au/3-5inch-480X320-Display-Module-Without/dp/B0DB25WKB3/ref=sr_1_12?crid=LO5HSRPAN1C&dib=eyJ2IjoiMSJ9.kClYhGZJjX5FPhIlIq2NQBjSgxrJUOaVwYmBTxt-8UMSDjcIIdd9GS1InDVpnNl2P-lUIBiYC5SqkWvEoM_Vpjmh6wB0cy2iFD6OAoU3m91ZKvFPPCv1z7Bd6cxbOCmNsGSSzHgjia4O-ykwmZFNb1Xd85agqQrdwQYk--ecjxlQYIwVMwr8cuKdAOyCWexyy4x0C_Ix6y-WPIhHg7oBRlfldUw3N3hDOwylln8Xamz_hQDfvfYhJSwPMwCkGV28ZavEaoW5XizI3-F_Sqh7TPzEoAhwkpTt4rFD1x-0Nlo.bltyTPTDb43DwsFvqynKn5O0WWsaMllE4AZJW1Uso1A&dib_tag=se&keywords=3.5%22%2BLCD&qid=1765845497&sprefix=3.5%22%2Blc%2Caps%2C298&sr=8-12&th=1

Header,1,1x40 pin 2.54mm male pin header,Jaycar Electronics,0.73,https://www.jaycar.com.au/40-pin-header-terminal-strip/p/HM3212

Acrylic Sheet (A5),1,A5 acrylic sheet to be cut into small squares - Amazon was cheapest cheaper than TEMU and Aliexpress,Amazon AU,8.26,https://www.amazon.com.au/gp/product/B0FC6TMFG9/


